metric, avg 
Recall@1_all, 0.8210032479249368 
Recall@1_animals, 0.920997920997921 
Recall@1_bodyparts, 0.7042801556420234 
Recall@1_clothing, 0.8773333333333333 
Recall@1_instruments, 0.8378378378378378 
Recall@1_other, 0.7166254635352287 
Recall@1_people, 0.8654383026242323 
Recall@1_scene, 0.7901554404145078 
Recall@1_vehicles, 0.8821989528795812 
Recall@5_all, 0.9455070371706965 
Recall@5_animals, 0.9646569646569647 
Recall@5_bodyparts, 0.867704280155642 
Recall@5_clothing, 0.9688888888888889 
Recall@5_instruments, 0.9797297297297297 
Recall@5_other, 0.8949320148331273 
Recall@5_people, 0.9754327191513121 
Recall@5_scene, 0.9235751295336787 
Recall@5_vehicles, 0.9659685863874345 
Recall@10_all, 0.9627571273908336 
Recall@10_animals, 0.975051975051975 
Recall@10_bodyparts, 0.9027237354085603 
Recall@10_clothing, 0.9791111111111112 
Recall@10_instruments, 0.9864864864864865 
Recall@10_other, 0.9289245982694685 
Recall@10_people, 0.9836218127675415 
Recall@10_scene, 0.9462435233160622 
Recall@10_vehicles, 0.9790575916230366 
Upper_bound_all, 0.9745218332731865 
Upper_bound_animals, 0.9833679833679834 
Upper_bound_bodyparts, 0.9474708171206225 
Upper_bound_clothing, 0.9813333333333333 
Upper_bound_instruments, 0.9932432432432432 
Upper_bound_other, 0.9527194066749073 
Upper_bound_people, 0.9918109063837707 
Upper_bound_scene, 0.9514248704663213 
Upper_bound_vehicles, 0.9869109947643979 
