metric, avg 
Recall@1_all, 0.8034644532659689 
Recall@1_animals, 0.8981288981288982 
Recall@1_bodyparts, 0.6945525291828794 
Recall@1_clothing, 0.8426666666666667 
Recall@1_instruments, 0.831081081081081 
Recall@1_other, 0.7005562422744128 
Recall@1_people, 0.8566908617159873 
Recall@1_scene, 0.7525906735751295 
Recall@1_vehicles, 0.9031413612565445 
Recall@5_all, 0.9367015517863587 
Recall@5_animals, 0.9584199584199584 
Recall@5_bodyparts, 0.8852140077821011 
Recall@5_clothing, 0.9524444444444444 
Recall@5_instruments, 0.9797297297297297 
Recall@5_other, 0.8794808405438813 
Recall@5_people, 0.97357156151126 
Recall@5_scene, 0.9041450777202072 
Recall@5_vehicles, 0.9607329842931938 
Recall@10_all, 0.9561891014074342 
Recall@10_animals, 0.9688149688149689 
Recall@10_bodyparts, 0.9260700389105059 
Recall@10_clothing, 0.9653333333333334 
Recall@10_instruments, 1.0 
Recall@10_other, 0.9150185414091471 
Recall@10_people, 0.9852968546435883 
Recall@10_scene, 0.9261658031088082 
Recall@10_vehicles, 0.9659685863874345 
Upper_bound_all, 0.9653554673403103 
Upper_bound_animals, 0.972972972972973 
Upper_bound_bodyparts, 0.9396887159533074 
Upper_bound_clothing, 0.9688888888888889 
Upper_bound_instruments, 1.0 
Upper_bound_other, 0.9332509270704573 
Upper_bound_people, 0.9910664433277498 
Upper_bound_scene, 0.939119170984456 
Upper_bound_vehicles, 0.9712041884816754 
