metric, avg 
Recall@1_all, 0.8254059906171057 
Recall@1_animals, 0.920997920997921 
Recall@1_bodyparts, 0.708171206225681 
Recall@1_clothing, 0.8746666666666667 
Recall@1_instruments, 0.8175675675675675 
Recall@1_other, 0.7194066749072929 
Recall@1_people, 0.8743718592964824 
Recall@1_scene, 0.8044041450777202 
Recall@1_vehicles, 0.8664921465968587 
Recall@5_all, 0.9438469866474197 
Recall@5_animals, 0.9646569646569647 
Recall@5_bodyparts, 0.8735408560311284 
Recall@5_clothing, 0.968 
Recall@5_instruments, 0.972972972972973 
Recall@5_other, 0.8902966625463535 
Recall@5_people, 0.9758049506793225 
Recall@5_scene, 0.9196891191709845 
Recall@5_vehicles, 0.9476439790575916 
Recall@10_all, 0.9612414290869722 
Recall@10_animals, 0.972972972972973 
Recall@10_bodyparts, 0.9085603112840467 
Recall@10_clothing, 0.9777777777777777 
Recall@10_instruments, 0.9864864864864865 
Recall@10_other, 0.92336217552534 
Recall@10_people, 0.9852968546435883 
Recall@10_scene, 0.9410621761658031 
Recall@10_vehicles, 0.9659685863874345 
Upper_bound_all, 0.9722843738722483 
Upper_bound_animals, 0.9833679833679834 
Upper_bound_bodyparts, 0.9455252918287937 
Upper_bound_clothing, 0.9804444444444445 
Upper_bound_instruments, 0.9932432432432432 
Upper_bound_other, 0.946229913473424 
Upper_bound_people, 0.9918109063837707 
Upper_bound_scene, 0.9481865284974094 
Upper_bound_vehicles, 0.9738219895287958 
