metric, avg 
Recall@1_all, 0.78939011187297 
Recall@1_animals, 0.9106029106029107 
Recall@1_bodyparts, 0.6750972762645915 
Recall@1_clothing, 0.8333333333333334 
Recall@1_instruments, 0.8513513513513513 
Recall@1_other, 0.6783065512978986 
Recall@1_people, 0.8485017680997581 
Recall@1_scene, 0.7208549222797928 
Recall@1_vehicles, 0.8926701570680629 
Recall@5_all, 0.9149043666546374 
Recall@5_animals, 0.9584199584199584 
Recall@5_bodyparts, 0.8521400778210116 
Recall@5_clothing, 0.9346666666666666 
Recall@5_instruments, 0.972972972972973 
Recall@5_other, 0.8491965389369592 
Recall@5_people, 0.965568583659036 
Recall@5_scene, 0.8400259067357513 
Recall@5_vehicles, 0.9502617801047121 
Recall@10_all, 0.9288343558282208 
Recall@10_animals, 0.9646569646569647 
Recall@10_bodyparts, 0.8813229571984436 
Recall@10_clothing, 0.9417777777777778 
Recall@10_instruments, 0.9797297297297297 
Recall@10_other, 0.8748454882571075 
Recall@10_people, 0.9728270984552392 
Recall@10_scene, 0.8620466321243523 
Recall@10_vehicles, 0.9581151832460733 
Upper_bound_all, 0.9345362684951282 
Upper_bound_animals, 0.9646569646569647 
Upper_bound_bodyparts, 0.896887159533074 
Upper_bound_clothing, 0.9444444444444444 
Upper_bound_instruments, 0.9797297297297297 
Upper_bound_other, 0.8862793572311496 
Upper_bound_people, 0.9765494137353434 
Upper_bound_scene, 0.8678756476683938 
Upper_bound_vehicles, 0.9581151832460733 
